survived,pclass,sex_numeric,embarked_numeric,cabin_numeric,sibsp,parch,fare,age,target
1.0,1.0,1.0,1.0,2.0,0.0,0.0,211.3375,29.0,S
1.0,1.0,0.0,1.0,3.0,1.0,2.0,151.55,0.9167,S
0.0,1.0,1.0,1.0,3.0,1.0,2.0,151.55,2.0,NS
0.0,1.0,0.0,1.0,3.0,1.0,2.0,151.55,30.0,NS
0.0,1.0,1.0,1.0,3.0,1.0,2.0,151.55,25.0,NS
1.0,1.0,0.0,1.0,5.0,0.0,0.0,26.55,48.0,S
1.0,1.0,1.0,1.0,4.0,1.0,0.0,77.9583,63.0,S
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,39.0,NS
1.0,1.0,1.0,1.0,3.0,2.0,0.0,51.4792,53.0,S
0.0,1.0,0.0,2.0,0.0,0.0,0.0,49.5042,71.0,NS
0.0,1.0,0.0,2.0,3.0,1.0,0.0,227.525,47.0,NS
1.0,1.0,1.0,2.0,3.0,1.0,0.0,227.525,18.0,S
1.0,1.0,1.0,2.0,2.0,0.0,0.0,69.3,24.0,S
1.0,1.0,1.0,1.0,0.0,0.0,0.0,78.85,26.0,S
1.0,1.0,0.0,1.0,1.0,0.0,0.0,30.0,80.0,S
0.0,1.0,0.0,1.0,0.0,0.0,0.0,25.925,29.8811345124283,NS
0.0,1.0,0.0,2.0,2.0,0.0,1.0,247.5208,24.0,NS
1.0,1.0,1.0,2.0,2.0,0.0,1.0,247.5208,50.0,S
1.0,1.0,1.0,2.0,4.0,0.0,0.0,76.2917,32.0,S
0.0,1.0,0.0,2.0,3.0,0.0,0.0,75.2417,36.0,NS
1.0,1.0,0.0,1.0,4.0,1.0,1.0,52.5542,37.0,S
1.0,1.0,1.0,1.0,4.0,1.0,1.0,52.5542,47.0,S
1.0,1.0,0.0,2.0,3.0,0.0,0.0,30.0,26.0,S
1.0,1.0,1.0,2.0,0.0,0.0,0.0,227.525,42.0,S
1.0,1.0,1.0,1.0,3.0,0.0,0.0,221.7792,29.0,S
