Ubicación,confirmado_acumulados,casos_por_millon,recuperadas,muertes
Estados Unidos,"4,705,403","14,278","2,301,821","156,744"
Brasil,"2,708,876","12,818","1,884,051","93,616"
India,"1,750,723","1,287",,"37,364"
Rusia,"850,870","5,798","650,173","14,128"
Sudáfrica,"503,290","8,563","342,461","8,153"
México,"434,193","3,430","284,847","47,472"
Perú,"422,183","13,139","290,835","19,408"
Chile,"359,731","18,827","332,411","9,608"
Irán,"306,752","3,681","265,830","16,982"
Colombia,"306,181","6,199","160,708","10,330"
Reino Unido,"304,695","4,586",,"46,201"
España,"288,522","6,126","150,376","28,445"
Pakistán,"279,699","1,276","248,577","5,976"
Arabia Saudita,"278,871","8,150",,"2,917"
Italia,"247,832","4,114","200,229","35,146"
Bangladés,"239,860","1,425","136,253","3,132"
Turquía,"232,856","2,800","216,494","5,728"
Alemania,"211,077","2,539","191,781","9,226"
Argentina,"196,530","4,373","86,486","3,596"
Francia,"187,919","2,802","81,500","30,265"
Irak,"126,704","3,238","89,275","4,805"
Canadá,"116,876","3,077","101,558","8,945"
Indonesia,"111,455",418,"68,975","5,236"
Catar,"111,107","40,443","107,779",177
Egipto,"94,316",941,"41,137","4,834"
Kazajistán,"90,367","4,839","60,825",793
Ecuador,"86,232","4,940","5,900","5,736"
Filipinas,"85,486",788,"26,996","1,962"
China continental,"84,337",60,"78,989","4,634"
Suecia,"80,422","7,783",,"5,743"
Omán,"79,159","16,969","61,421",422
Bolivia,"78,793","6,870","23,968","3,064"
República Dominicana,"72,243","6,974",,"1,178"
Israel,"72,218","7,867","45,102",526
Ucrania,"72,168","1,723","39,543","1,725"
Bélgica,"69,402","6,022",,"9,845"
Bielorrusia,"68,067","7,231","62,896",567
Kuwait,"67,911","15,364","59,213",457
Panamá,"66,383","15,735","40,081","1,449"
Emiratos Árabes Unidos,"60,999","6,167","54,615",351
Países Bajos,"54,732","3,136",,"6,148"
Rumanía,"53,186","2,741","27,592","2,413"
Singapur,"52,825","9,262","46,926",27
Portugal,"51,310","4,993","36,783","1,737"
Guatemala,"50,979","3,070","37,873","1,959"
Polonia,"46,894","1,222",,"1,731"
Nigeria,"43,537",211,"20,087",883
Honduras,"42,685","4,661","5,694","1,368"
Baréin,"41,190","26,690","38,211",147
Armenia,"39,050","13,204",,754
Japón,"37,778",300,"25,506","1,008"
Ghana,"37,014","1,222","33,365",182
Kirguistán,"36,719","5,620","27,274","1,409"
Afganistán,"36,710","1,139","25,509","1,283"
Suiza,"35,412","4,124","31,300","1,707"
Azerbaiyán,"32,157","3,194","26,474",454
Argelia,"31,465",732,"21,419","1,231"
Irlanda,"26,162","5,316","24,000","1,763"
Serbia,"25,882","3,717","21,044",582
Uzbekistán,"25,336",743,"15,833",151
Moldavia,"25,113","9,364","17,571",788
Marruecos,"25,051",699,,367
Kenia,"22,053",464,"8,477",369
Austria,"21,304","2,393","18,984",718
Nepal,"20,086",670,"14,492",56
Venezuela,"19,443",603,"10,837",169
Costa Rica,"18,187","3,596","4,531",154
Etiopía,"17,999",182,"7,195",284
Australia,"17,923",698,"10,420",208
El Salvador,"17,448","2,690","8,634",467
Camerún,"17,255",650,"15,320",387
Chequia,"16,699","1,562","11,587",383
Costa de Marfil,"16,109",624,"11,750",102
Palestina,"15,555","3,126",,86
Corea del Sur,"14,366",277,"13,259",301
Dinamarca,"14,028","2,409",,615
Bosnia y Herzegovina,"12,296","3,725","6,312",352
Bulgaria,"11,836","1,691","6,396",385
Sudán,"11,738",277,"6,137",752
Madagascar,"11,528",439,"8,444",114
República de Macedonia,"11,054","5,322","6,882",497
Senegal,"10,344",638,"6,838",63
Noruega,"9,263","1,726","8,752",255
República Democrática del Congo,"9,084",101,"7,030",215
Malasia,"8,999",275,"8,664",125
República de Kosovo,"8,799","4,900","4,863",249
Guayana Francesa,"7,857","27,552","6,531",43
Gabón,"7,531","3,466","5,223",50
Tayikistán,"7,451",816,"6,233",60
Finlandia,"7,450","1,348","6,950",329
Haiti,"7,424",641,"4,606",161
Guinea,"7,308",598,"6,458",46
Luxemburgo,"6,695","10,906","5,192",114
Mauritania,"6,319","1,550","5,043",157
Zambia,"6,228",348,"4,130",165
Albania,"5,519","1,939","3,018",166
Paraguay,"5,485",767,"3,786",52
Croacia,"5,260","1,290","4,373",149
Yibuti,"5,081","4,712","4,999",58
Guinea Ecuatorial,"4,821","3,549","2,182",83
Líbano,"4,730",693,"1,761",61
Grecia,"4,662",435,"3,562",208
República Centroafricana,"4,614",840,"1,635",59
Hungría,"4,535",464,"3,389",597
Malaui,"4,186",219,"1,914",120
Maldivas,"3,949","10,537","2,610",16
Libia,"3,691",537,,80
Nicaragua,"3,672",568,"2,492",116
Zimbabue,"3,659",241,"1,011",69
Hong Kong,"3,512",468,"1,959",34
Congo,"3,387",614,,56
Tailandia,"3,317",50,"3,142",58
Montenegro,"3,253","5,227",,51
Somalia,"3,212",202,"1,562",93
Mayotte,"2,962","12,947","2,721",39
Sri Lanka,"2,816",129,"2,514",11
Cuba,"2,633",235,"2,367",87
Mali,"2,535",127,"1,937",124
Cabo Verde,"2,480","4,505","1,837",24
Sudán del Sur,"2,429",190,,46
Eslovaquia,"2,344",430,"1,742",29
Namibia,"2,224",904,171,11
Esuatini,"2,207","2,019","9,286",32
Eslovenia,"2,171","1,037","1,821",119
Lituania,"2,110",755,"1,644",80
Estonia,"2,079","1,565","1,952",69
Ruanda,"2,042",165,"1,119",5
Guinea-Bisáu,"1,981","1,235",,27
Islandia,"1,907","5,235","1,825",10
Mozambique,"1,907",63,,12
Sierra Leona,"1,843",233,"1,375",67
Benín,"1,805",154,,36
Surinam,"1,760","3,027","1,161",26
Yemen,"1,734",58,,495
Nueva Zelanda,"1,565",315,,22
Túnez,"1,552",132,"1,217",51
Uruguay,"1,278",363,"1,004",35
Letonia,"1,243",652,"1,022",32
Jordania,"1,208",113,"1,094",11
Liberia,"1,189",266,673,75
Georgia,"1,177",316,,17
Uganda,"1,176",29,"1,045",4
Angola,"1,164",37,460,54
Burkina Faso,"1,143",55,935,53
Níger,"1,136",51,"1,028",69
Chipre,"1,124","1,283",852,19
Chad,936,58,813,75
